,#bit11,#bit10,#bit9,#bit8,#bit7,#bit6,#bit5,#bit4,#bit3,#bit2,#bit1,Expected Time,k-opt
1711,1,1,0,1,0,1,0,1,1,1,1,20.16666666666668,1
1710,1,1,0,1,0,1,0,1,1,1,0,22.91666666666668,1
1709,1,1,0,1,0,1,0,1,1,0,1,22.91666666666668,1
1708,1,1,0,1,0,1,0,1,1,0,0,25.11666666666668,1
1707,1,1,0,1,0,1,0,1,0,1,1,22.91666666666668,1
1706,1,1,0,1,0,1,0,1,0,1,0,25.11666666666668,1
1705,1,1,0,1,0,1,0,1,0,0,1,25.11666666666668,1
1704,1,1,0,1,0,1,0,1,0,0,0,26.583333333333346,2
1703,1,1,0,1,0,1,0,0,1,1,1,22.91666666666668,1
1702,1,1,0,1,0,1,0,0,1,1,0,25.11666666666668,1
1701,1,1,0,1,0,1,0,0,1,0,1,25.11666666666668,1
1700,1,1,0,1,0,1,0,0,1,0,0,26.562089436992128,3
1699,1,1,0,1,0,1,0,0,0,1,1,25.11666666666668,1
1698,1,1,0,1,0,1,0,0,0,1,0,26.53458439696015,3
1697,1,1,0,1,0,1,0,0,0,0,1,26.53458439696015,3
1696,1,1,0,1,0,1,0,0,0,0,0,27.213447884587044,4
1695,1,1,0,1,0,0,1,1,1,1,1,20.16666666666668,1
1694,1,1,0,1,0,0,1,1,1,1,0,22.91666666666668,1
1693,1,1,0,1,0,0,1,1,1,0,1,22.91666666666668,1
1692,1,1,0,1,0,0,1,1,1,0,0,25.11666666666668,1
1691,1,1,0,1,0,0,1,1,0,1,1,22.91666666666668,1
1690,1,1,0,1,0,0,1,1,0,1,0,25.11666666666668,1
1689,1,1,0,1,0,0,1,1,0,0,1,25.11666666666668,1
1688,1,1,0,1,0,0,1,1,0,0,0,26.546699848262556,3
1687,1,1,0,1,0,0,1,0,1,1,1,22.91666666666668,1
1686,1,1,0,1,0,0,1,0,1,1,0,25.11666666666668,1
1685,1,1,0,1,0,0,1,0,1,0,1,25.11666666666668,1
1684,1,1,0,1,0,0,1,0,1,0,0,26.495148758789927,3
1683,1,1,0,1,0,0,1,0,0,1,1,25.11666666666668,1
1682,1,1,0,1,0,0,1,0,0,1,0,26.470748294869,3
1681,1,1,0,1,0,0,1,0,0,0,1,26.470748294869,3
1680,1,1,0,1,0,0,1,0,0,0,0,27.06957525020107,4
1679,1,1,0,1,0,0,0,1,1,1,1,22.91666666666668,1
1678,1,1,0,1,0,0,0,1,1,1,0,25.11666666666668,1
1677,1,1,0,1,0,0,0,1,1,0,1,25.11666666666668,1
1676,1,1,0,1,0,0,0,1,1,0,0,26.457450559277294,3
1675,1,1,0,1,0,0,0,1,0,1,1,25.11666666666668,1
1674,1,1,0,1,0,0,0,1,0,1,0,26.43489842187762,3
1673,1,1,0,1,0,0,0,1,0,0,1,26.43489842187762,3
1672,1,1,0,1,0,0,0,1,0,0,0,27.00494114273226,4
1671,1,1,0,1,0,0,0,0,1,1,1,25.11666666666668,1
1670,1,1,0,1,0,0,0,0,1,1,0,26.422398685077113,3
1669,1,1,0,1,0,0,0,0,1,0,1,26.422398685077113,3
1668,1,1,0,1,0,0,0,0,1,0,0,26.984485320437866,4
1667,1,1,0,1,0,0,0,0,0,1,1,26.431124753076972,3
1666,1,1,0,1,0,0,0,0,0,1,0,26.984620972650717,4
1665,1,1,0,1,0,0,0,0,0,0,1,26.984620972650717,4
1664,1,1,0,1,0,0,0,0,0,0,0,27.147435897435955,5
1663,1,1,0,0,1,1,1,1,1,1,1,16.50000000000001,1
1662,1,1,0,0,1,1,1,1,1,1,0,20.16666666666668,1
1661,1,1,0,0,1,1,1,1,1,0,1,20.16666666666668,1
1660,1,1,0,0,1,1,1,1,1,0,0,22.91666666666668,1
1659,1,1,0,0,1,1,1,1,0,1,1,20.16666666666668,1
1658,1,1,0,0,1,1,1,1,0,1,0,22.91666666666668,1
1657,1,1,0,0,1,1,1,1,0,0,1,22.91666666666668,1
1656,1,1,0,0,1,1,1,1,0,0,0,25.11666666666668,1
1655,1,1,0,0,1,1,1,0,1,1,1,20.16666666666668,1
1654,1,1,0,0,1,1,1,0,1,1,0,22.91666666666668,1
1653,1,1,0,0,1,1,1,0,1,0,1,22.91666666666668,1
1652,1,1,0,0,1,1,1,0,1,0,0,25.11666666666668,1
1651,1,1,0,0,1,1,1,0,0,1,1,22.91666666666668,1
1650,1,1,0,0,1,1,1,0,0,1,0,25.11666666666668,1
1649,1,1,0,0,1,1,1,0,0,0,1,25.11666666666668,1
1648,1,1,0,0,1,1,1,0,0,0,0,26.583333333333346,2
1647,1,1,0,0,1,1,0,1,1,1,1,20.16666666666668,1
1646,1,1,0,0,1,1,0,1,1,1,0,22.91666666666668,1
1645,1,1,0,0,1,1,0,1,1,0,1,22.91666666666668,1
1644,1,1,0,0,1,1,0,1,1,0,0,25.11666666666668,1
1643,1,1,0,0,1,1,0,1,0,1,1,22.91666666666668,1
1642,1,1,0,0,1,1,0,1,0,1,0,25.11666666666668,1
1641,1,1,0,0,1,1,0,1,0,0,1,25.11666666666668,1
1640,1,1,0,0,1,1,0,1,0,0,0,26.506232317468612,4
1639,1,1,0,0,1,1,0,0,1,1,1,22.91666666666668,1
1638,1,1,0,0,1,1,0,0,1,1,0,25.11666666666668,1
1637,1,1,0,0,1,1,0,0,1,0,1,25.11666666666668,1
1636,1,1,0,0,1,1,0,0,1,0,0,26.46800556479679,4
1635,1,1,0,0,1,1,0,0,0,1,1,25.11666666666668,1
1634,1,1,0,0,1,1,0,0,0,1,0,26.454989804377334,3
1633,1,1,0,0,1,1,0,0,0,0,1,26.454989804377334,3
1632,1,1,0,0,1,1,0,0,0,0,0,26.854345128780245,5
1631,1,1,0,0,1,0,1,1,1,1,1,20.16666666666668,1
1630,1,1,0,0,1,0,1,1,1,1,0,22.91666666666668,1
1629,1,1,0,0,1,0,1,1,1,0,1,22.91666666666668,1
1628,1,1,0,0,1,0,1,1,1,0,0,25.11666666666668,1
1627,1,1,0,0,1,0,1,1,0,1,1,22.91666666666668,1
1626,1,1,0,0,1,0,1,1,0,1,0,25.11666666666668,1
1625,1,1,0,0,1,0,1,1,0,0,1,25.11666666666668,1
1624,1,1,0,0,1,0,1,1,0,0,0,26.396577265148757,4
1623,1,1,0,0,1,0,1,0,1,1,1,22.91666666666668,1
1622,1,1,0,0,1,0,1,0,1,1,0,25.11666666666668,1
1621,1,1,0,0,1,0,1,0,1,0,1,25.11666666666668,1
1620,1,1,0,0,1,0,1,0,1,0,0,26.362643225293457,4
1619,1,1,0,0,1,0,1,0,0,1,1,25.11666666666668,1
1618,1,1,0,0,1,0,1,0,0,1,0,26.362501428431642,4
1617,1,1,0,0,1,0,1,0,0,0,1,26.362501428431642,4
1616,1,1,0,0,1,0,1,0,0,0,0,26.713329716732396,5
1615,1,1,0,0,1,0,0,1,1,1,1,22.91666666666668,1
1614,1,1,0,0,1,0,0,1,1,1,0,25.11666666666668,1
1613,1,1,0,0,1,0,0,1,1,0,1,25.11666666666668,1
1612,1,1,0,0,1,0,0,1,1,0,0,26.32961560205441,4
1611,1,1,0,0,1,0,0,1,0,1,1,25.11666666666668,1
1610,1,1,0,0,1,0,0,1,0,1,0,26.329890672946064,4
1609,1,1,0,0,1,0,0,1,0,0,1,26.329890672946064,4
1608,1,1,0,0,1,0,0,1,0,0,0,26.68101577986255,5
1607,1,1,0,0,1,0,0,0,1,1,1,25.11666666666668,1
1606,1,1,0,0,1,0,0,0,1,1,0,26.32988468999053,4
1605,1,1,0,0,1,0,0,0,1,0,1,26.32988468999053,4
1604,1,1,0,0,1,0,0,0,1,0,0,26.682121098766835,5
1603,1,1,0,0,1,0,0,0,0,1,1,26.328805203541542,4
1602,1,1,0,0,1,0,0,0,0,1,0,26.68287832510828,5
1601,1,1,0,0,1,0,0,0,0,0,1,26.68287832510828,5
1600,1,1,0,0,1,0,0,0,0,0,0,26.536324786324826,6
1599,1,1,0,0,0,1,1,1,1,1,1,20.16666666666668,1
1598,1,1,0,0,0,1,1,1,1,1,0,22.91666666666668,1
1597,1,1,0,0,0,1,1,1,1,0,1,22.91666666666668,1
1596,1,1,0,0,0,1,1,1,1,0,0,25.11666666666668,1
1595,1,1,0,0,0,1,1,1,0,1,1,22.91666666666668,1
1594,1,1,0,0,0,1,1,1,0,1,0,25.11666666666668,1
1593,1,1,0,0,0,1,1,1,0,0,1,25.11666666666668,1
1592,1,1,0,0,0,1,1,1,0,0,0,26.29999035880511,4
1591,1,1,0,0,0,1,1,0,1,1,1,22.91666666666668,1
1590,1,1,0,0,0,1,1,0,1,1,0,25.11666666666668,1
1589,1,1,0,0,0,1,1,0,1,0,1,25.11666666666668,1
1588,1,1,0,0,0,1,1,0,1,0,0,26.27063075798127,4
1587,1,1,0,0,0,1,1,0,0,1,1,25.11666666666668,1
1586,1,1,0,0,0,1,1,0,0,1,0,26.270986866744337,4
1585,1,1,0,0,0,1,1,0,0,0,1,26.270986866744337,4
1584,1,1,0,0,0,1,1,0,0,0,0,26.568580406731574,5
1583,1,1,0,0,0,1,0,1,1,1,1,22.91666666666668,1
1582,1,1,0,0,0,1,0,1,1,1,0,25.11666666666668,1
1581,1,1,0,0,0,1,0,1,1,0,1,25.11666666666668,1
1580,1,1,0,0,0,1,0,1,1,0,0,26.241003922770236,4
1579,1,1,0,0,0,1,0,1,0,1,1,25.11666666666668,1
1578,1,1,0,0,0,1,0,1,0,1,0,26.241716081586407,4
1577,1,1,0,0,0,1,0,1,0,0,1,26.241716081586407,4
1576,1,1,0,0,0,1,0,1,0,0,0,26.54094529476181,5
1575,1,1,0,0,0,1,0,0,1,1,1,25.11666666666668,1
1574,1,1,0,0,0,1,0,0,1,1,0,26.241744918832175,4
1573,1,1,0,0,0,1,0,0,1,0,1,26.241744918832175,4
1572,1,1,0,0,0,1,0,0,1,0,0,26.542064241107273,5
1571,1,1,0,0,0,1,0,0,0,1,1,26.241235110930464,4
1570,1,1,0,0,0,1,0,0,0,1,0,26.54253939231626,5
1569,1,1,0,0,0,1,0,0,0,0,1,26.54253939231626,5
1568,1,1,0,0,0,1,0,0,0,0,0,26.31827309236952,6
1567,1,1,0,0,0,0,1,1,1,1,1,22.91666666666668,1
1566,1,1,0,0,0,0,1,1,1,1,0,25.11666666666668,1
1565,1,1,0,0,0,0,1,1,1,0,1,25.11666666666668,1
1564,1,1,0,0,0,0,1,1,1,0,0,26.214177548113565,4
1563,1,1,0,0,0,0,1,1,0,1,1,25.11666666666668,1
1562,1,1,0,0,0,0,1,1,0,1,0,26.214644418969257,4
1561,1,1,0,0,0,0,1,1,0,0,1,26.214644418969257,4
1560,1,1,0,0,0,0,1,1,0,0,0,26.50870797128764,5
1559,1,1,0,0,0,0,1,0,1,1,1,25.11666666666668,1
1558,1,1,0,0,0,0,1,0,1,1,0,26.215098304880236,4
1557,1,1,0,0,0,0,1,0,1,0,1,26.215098304880236,4
1556,1,1,0,0,0,0,1,0,1,0,0,26.509582534111598,5
1555,1,1,0,0,0,0,1,0,0,1,1,26.214427359097257,4
1554,1,1,0,0,0,0,1,0,0,1,0,26.510137601368992,5
1553,1,1,0,0,0,0,1,0,0,0,1,26.510137601368992,5
1552,1,1,0,0,0,0,1,0,0,0,0,26.277777777777818,6
1551,1,1,0,0,0,0,0,1,1,1,1,25.11666666666668,1
1550,1,1,0,0,0,0,0,1,1,1,0,26.215923099653434,4
1549,1,1,0,0,0,0,0,1,1,0,1,26.215923099653434,4
1548,1,1,0,0,0,0,0,1,1,0,0,26.51005862619653,5
1547,1,1,0,0,0,0,0,1,0,1,1,26.21560688886393,4
1546,1,1,0,0,0,0,0,1,0,1,0,26.510449303239632,5
1545,1,1,0,0,0,0,0,1,0,0,1,26.510449303239632,5
1544,1,1,0,0,0,0,0,1,0,0,0,26.277777777777818,6
1543,1,1,0,0,0,0,0,0,1,1,1,26.215105281260037,4
1542,1,1,0,0,0,0,0,0,1,1,0,26.512026972646336,5
1541,1,1,0,0,0,0,0,0,1,0,1,26.512026972646336,5
1540,1,1,0,0,0,0,0,0,1,0,0,26.277777777777818,6
1539,1,1,0,0,0,0,0,0,0,1,1,26.512955761812176,5
1538,1,1,0,0,0,0,0,0,0,1,0,26.277777777777818,6
1537,1,1,0,0,0,0,0,0,0,0,1,26.277777777777818,6
1536,1,1,0,0,0,0,0,0,0,0,0,25.666666666666693,7
1535,1,0,1,1,1,1,1,1,1,1,1,11.000000000000009,1
1534,1,0,1,1,1,1,1,1,1,1,0,16.50000000000001,1
1533,1,0,1,1,1,1,1,1,1,0,1,16.50000000000001,1
1532,1,0,1,1,1,1,1,1,1,0,0,20.16666666666668,1
1531,1,0,1,1,1,1,1,1,0,1,1,16.50000000000001,1
1530,1,0,1,1,1,1,1,1,0,1,0,20.16666666666668,1
1529,1,0,1,1,1,1,1,1,0,0,1,20.16666666666668,1
1528,1,0,1,1,1,1,1,1,0,0,0,22.91666666666668,1
1527,1,0,1,1,1,1,1,0,1,1,1,16.50000000000001,1
1526,1,0,1,1,1,1,1,0,1,1,0,20.16666666666668,1
1525,1,0,1,1,1,1,1,0,1,0,1,20.16666666666668,1
1524,1,0,1,1,1,1,1,0,1,0,0,22.91666666666668,1
1523,1,0,1,1,1,1,1,0,0,1,1,20.16666666666668,1
1522,1,0,1,1,1,1,1,0,0,1,0,22.91666666666668,1
1521,1,0,1,1,1,1,1,0,0,0,1,22.91666666666668,1
1520,1,0,1,1,1,1,1,0,0,0,0,25.11666666666668,1
1519,1,0,1,1,1,1,0,1,1,1,1,16.50000000000001,1
1518,1,0,1,1,1,1,0,1,1,1,0,20.16666666666668,1
1517,1,0,1,1,1,1,0,1,1,0,1,20.16666666666668,1
1516,1,0,1,1,1,1,0,1,1,0,0,22.91666666666668,1
1515,1,0,1,1,1,1,0,1,0,1,1,20.16666666666668,1
1514,1,0,1,1,1,1,0,1,0,1,0,22.91666666666668,1
1513,1,0,1,1,1,1,0,1,0,0,1,22.91666666666668,1
1512,1,0,1,1,1,1,0,1,0,0,0,25.11666666666668,1
1511,1,0,1,1,1,1,0,0,1,1,1,20.16666666666668,1
1510,1,0,1,1,1,1,0,0,1,1,0,22.91666666666668,1
1509,1,0,1,1,1,1,0,0,1,0,1,22.91666666666668,1
1508,1,0,1,1,1,1,0,0,1,0,0,25.11666666666668,1
1507,1,0,1,1,1,1,0,0,0,1,1,22.91666666666668,1
1506,1,0,1,1,1,1,0,0,0,1,0,25.11666666666668,1
1505,1,0,1,1,1,1,0,0,0,0,1,25.11666666666668,1
1504,1,0,1,1,1,1,0,0,0,0,0,26.583333333333346,2
1503,1,0,1,1,1,0,1,1,1,1,1,16.50000000000001,1
1502,1,0,1,1,1,0,1,1,1,1,0,20.16666666666668,1
1501,1,0,1,1,1,0,1,1,1,0,1,20.16666666666668,1
1500,1,0,1,1,1,0,1,1,1,0,0,22.91666666666668,1
1499,1,0,1,1,1,0,1,1,0,1,1,20.16666666666668,1
1498,1,0,1,1,1,0,1,1,0,1,0,22.91666666666668,1
1497,1,0,1,1,1,0,1,1,0,0,1,22.91666666666668,1
1496,1,0,1,1,1,0,1,1,0,0,0,25.11666666666668,1
1495,1,0,1,1,1,0,1,0,1,1,1,20.16666666666668,1
1494,1,0,1,1,1,0,1,0,1,1,0,22.91666666666668,1
1493,1,0,1,1,1,0,1,0,1,0,1,22.91666666666668,1
1492,1,0,1,1,1,0,1,0,1,0,0,25.11666666666668,1
1491,1,0,1,1,1,0,1,0,0,1,1,22.91666666666668,1
1490,1,0,1,1,1,0,1,0,0,1,0,25.11666666666668,1
1489,1,0,1,1,1,0,1,0,0,0,1,25.11666666666668,1
1488,1,0,1,1,1,0,1,0,0,0,0,26.54783617274322,6
1487,1,0,1,1,1,0,0,1,1,1,1,20.16666666666668,1
1486,1,0,1,1,1,0,0,1,1,1,0,22.91666666666668,1
1485,1,0,1,1,1,0,0,1,1,0,1,22.91666666666668,1
1484,1,0,1,1,1,0,0,1,1,0,0,25.11666666666668,1
1483,1,0,1,1,1,0,0,1,0,1,1,22.91666666666668,1
1482,1,0,1,1,1,0,0,1,0,1,0,25.11666666666668,1
1481,1,0,1,1,1,0,0,1,0,0,1,25.11666666666668,1
1480,1,0,1,1,1,0,0,1,0,0,0,26.550197014643803,6
1479,1,0,1,1,1,0,0,0,1,1,1,22.91666666666668,1
1478,1,0,1,1,1,0,0,0,1,1,0,25.11666666666668,1
1477,1,0,1,1,1,0,0,0,1,0,1,25.11666666666668,1
1476,1,0,1,1,1,0,0,0,1,0,0,26.53170630841542,4
1475,1,0,1,1,1,0,0,0,0,1,1,25.11666666666668,1
1474,1,0,1,1,1,0,0,0,0,1,0,26.52168475887728,3
1473,1,0,1,1,1,0,0,0,0,0,1,26.52168475887728,3
1472,1,0,1,1,1,0,0,0,0,0,0,25.98764767391852,7
1471,1,0,1,1,0,1,1,1,1,1,1,16.50000000000001,1
1470,1,0,1,1,0,1,1,1,1,1,0,20.16666666666668,1
1469,1,0,1,1,0,1,1,1,1,0,1,20.16666666666668,1
1468,1,0,1,1,0,1,1,1,1,0,0,22.91666666666668,1
1467,1,0,1,1,0,1,1,1,0,1,1,20.16666666666668,1
1466,1,0,1,1,0,1,1,1,0,1,0,22.91666666666668,1
1465,1,0,1,1,0,1,1,1,0,0,1,22.91666666666668,1
1464,1,0,1,1,0,1,1,1,0,0,0,25.11666666666668,1
1463,1,0,1,1,0,1,1,0,1,1,1,20.16666666666668,1
1462,1,0,1,1,0,1,1,0,1,1,0,22.91666666666668,1
1461,1,0,1,1,0,1,1,0,1,0,1,22.91666666666668,1
1460,1,0,1,1,0,1,1,0,1,0,0,25.11666666666668,1
1459,1,0,1,1,0,1,1,0,0,1,1,22.91666666666668,1
1458,1,0,1,1,0,1,1,0,0,1,0,25.11666666666668,1
1457,1,0,1,1,0,1,1,0,0,0,1,25.11666666666668,1
1456,1,0,1,1,0,1,1,0,0,0,0,26.361285982647072,5
1455,1,0,1,1,0,1,0,1,1,1,1,20.16666666666668,1
1454,1,0,1,1,0,1,0,1,1,1,0,22.91666666666668,1
1453,1,0,1,1,0,1,0,1,1,0,1,22.91666666666668,1
1452,1,0,1,1,0,1,0,1,1,0,0,25.11666666666668,1
1451,1,0,1,1,0,1,0,1,0,1,1,22.91666666666668,1
1450,1,0,1,1,0,1,0,1,0,1,0,25.11666666666668,1
1449,1,0,1,1,0,1,0,1,0,0,1,25.11666666666668,1
1448,1,0,1,1,0,1,0,1,0,0,0,26.318385218850064,5
1447,1,0,1,1,0,1,0,0,1,1,1,22.91666666666668,1
1446,1,0,1,1,0,1,0,0,1,1,0,25.11666666666668,1
1445,1,0,1,1,0,1,0,0,1,0,1,25.11666666666668,1
1444,1,0,1,1,0,1,0,0,1,0,0,26.318746252256865,5
1443,1,0,1,1,0,1,0,0,0,1,1,25.11666666666668,1
1442,1,0,1,1,0,1,0,0,0,1,0,26.31884741639599,5
1441,1,0,1,1,0,1,0,0,0,0,1,26.31884741639599,5
1440,1,0,1,1,0,1,0,0,0,0,0,25.88662168944844,7
1439,1,0,1,1,0,0,1,1,1,1,1,20.16666666666668,1
1438,1,0,1,1,0,0,1,1,1,1,0,22.91666666666668,1
1437,1,0,1,1,0,0,1,1,1,0,1,22.91666666666668,1
1436,1,0,1,1,0,0,1,1,1,0,0,25.11666666666668,1
1435,1,0,1,1,0,0,1,1,0,1,1,22.91666666666668,1
1434,1,0,1,1,0,0,1,1,0,1,0,25.11666666666668,1
1433,1,0,1,1,0,0,1,1,0,0,1,25.11666666666668,1
1432,1,0,1,1,0,0,1,1,0,0,0,26.251568117234523,5
1431,1,0,1,1,0,0,1,0,1,1,1,22.91666666666668,1
1430,1,0,1,1,0,0,1,0,1,1,0,25.11666666666668,1
1429,1,0,1,1,0,0,1,0,1,0,1,25.11666666666668,1
1428,1,0,1,1,0,0,1,0,1,0,0,26.23512678841558,4
1427,1,0,1,1,0,0,1,0,0,1,1,25.11666666666668,1
1426,1,0,1,1,0,0,1,0,0,1,0,26.234974193476877,4
1425,1,0,1,1,0,0,1,0,0,0,1,26.234974193476877,4
1424,1,0,1,1,0,0,1,0,0,0,0,25.893222452076003,7
1423,1,0,1,1,0,0,0,1,1,1,1,22.91666666666668,1
1422,1,0,1,1,0,0,0,1,1,1,0,25.11666666666668,1
1421,1,0,1,1,0,0,0,1,1,0,1,25.11666666666668,1
1420,1,0,1,1,0,0,0,1,1,0,0,26.20599143619315,4
1419,1,0,1,1,0,0,0,1,0,1,1,25.11666666666668,1
1418,1,0,1,1,0,0,0,1,0,1,0,26.206219705315643,4
1417,1,0,1,1,0,0,0,1,0,0,1,26.206219705315643,4
1416,1,0,1,1,0,0,0,1,0,0,0,25.896289386620573,7
1415,1,0,1,1,0,0,0,0,1,1,1,25.11666666666668,1
1414,1,0,1,1,0,0,0,0,1,1,0,26.205898286394838,4
1413,1,0,1,1,0,0,0,0,1,0,1,26.205898286394838,4
1412,1,0,1,1,0,0,0,0,1,0,0,25.897478428038838,7
1411,1,0,1,1,0,0,0,0,0,1,1,26.204889548666355,4
1410,1,0,1,1,0,0,0,0,0,1,0,25.897642237437402,7
1409,1,0,1,1,0,0,0,0,0,0,1,25.897642237437402,7
1408,1,0,1,1,0,0,0,0,0,0,0,24.24074074074076,9
1407,1,0,1,0,1,1,1,1,1,1,1,16.50000000000001,1
1406,1,0,1,0,1,1,1,1,1,1,0,20.16666666666668,1
1405,1,0,1,0,1,1,1,1,1,0,1,20.16666666666668,1
1404,1,0,1,0,1,1,1,1,1,0,0,22.91666666666668,1
1403,1,0,1,0,1,1,1,1,0,1,1,20.16666666666668,1
1402,1,0,1,0,1,1,1,1,0,1,0,22.91666666666668,1
1401,1,0,1,0,1,1,1,1,0,0,1,22.91666666666668,1
1400,1,0,1,0,1,1,1,1,0,0,0,25.11666666666668,1
1399,1,0,1,0,1,1,1,0,1,1,1,20.16666666666668,1
1398,1,0,1,0,1,1,1,0,1,1,0,22.91666666666668,1
1397,1,0,1,0,1,1,1,0,1,0,1,22.91666666666668,1
1396,1,0,1,0,1,1,1,0,1,0,0,25.11666666666668,1
1395,1,0,1,0,1,1,1,0,0,1,1,22.91666666666668,1
1394,1,0,1,0,1,1,1,0,0,1,0,25.11666666666668,1
1393,1,0,1,0,1,1,1,0,0,0,1,25.11666666666668,1
1392,1,0,1,0,1,1,1,0,0,0,0,26.100844261016285,5
1391,1,0,1,0,1,1,0,1,1,1,1,20.16666666666668,1
1390,1,0,1,0,1,1,0,1,1,1,0,22.91666666666668,1
1389,1,0,1,0,1,1,0,1,1,0,1,22.91666666666668,1
1388,1,0,1,0,1,1,0,1,1,0,0,25.11666666666668,1
1387,1,0,1,0,1,1,0,1,0,1,1,22.91666666666668,1
1386,1,0,1,0,1,1,0,1,0,1,0,25.11666666666668,1
1385,1,0,1,0,1,1,0,1,0,0,1,25.11666666666668,1
1384,1,0,1,0,1,1,0,1,0,0,0,26.06442960661328,5
1383,1,0,1,0,1,1,0,0,1,1,1,22.91666666666668,1
1382,1,0,1,0,1,1,0,0,1,1,0,25.11666666666668,1
1381,1,0,1,0,1,1,0,0,1,0,1,25.11666666666668,1
1380,1,0,1,0,1,1,0,0,1,0,0,26.064472541304337,5
1379,1,0,1,0,1,1,0,0,0,1,1,25.11666666666668,1
1378,1,0,1,0,1,1,0,0,0,1,0,26.06455253111977,5
1377,1,0,1,0,1,1,0,0,0,0,1,26.06455253111977,5
1376,1,0,1,0,1,1,0,0,0,0,0,25.632642821766257,7
1375,1,0,1,0,1,0,1,1,1,1,1,20.16666666666668,1
1374,1,0,1,0,1,0,1,1,1,1,0,22.91666666666668,1
1373,1,0,1,0,1,0,1,1,1,0,1,22.91666666666668,1
