,RLS-opt,T[RLS-opt],p-opt,T[p-opt],RLS-drift,t[RLS-drift],p-drift,T[p-drift],p-opt{>0},T[p-opt{>0}],p-drift{>0},T[p-drift{>0}]
500,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,1,500.0,0.002,1357.781546565009,1,500.0,0.001999491716240343,858.6544872664169,0.002889239061336793,1121.307873541095,5.9608609865491405e-06,500.74435820955506
498,1,749.9999999999509,0.0020100583111037082,2033.9496006880895,1,749.9999999999509,0.0020075426576684555,1287.2628071272234,0.0029026333644035945,1680.6589729615016,5.9608609865491405e-06,751.1142964418772
497,1,916.6666666665848,0.0020181867021911576,2483.3671668974844,1,916.6666666665848,0.0020156726519974504,1572.808429637703,0.0029138670084268323,2052.9688639361457,5.9608609865491405e-06,918.0265921770298
496,1,1041.6666666665603,0.002026385334964809,2819.4087911450833,1,1041.6666666665603,0.0020238816334331466,1786.8220269128137,0.002925185126178089,2331.7553882380316,5.9608609865491405e-06,1043.2100666717697
495,1,1141.6666666665406,0.002034656597887039,3087.424468404622,1,1141.6666666665406,0.0020321696777125513,1957.9159198932384,0.0029365941925183128,2554.4258956119684,5.9608609865491405e-06,1143.3562484293932
494,1,1224.9999999998577,0.0020430015164323756,3310.089192657511,1,1224.9999999998577,0.0020394344235003365,2100.3517549492185,0.0029480953440771886,2739.68404773419,5.9608609865491405e-06,1226.8109017015477
493,1,1296.428571428415,0.0020514211360832574,3500.3601002683504,1,1296.428571428415,0.002050926706778354,2222.4604099064013,0.002959689720202483,2898.2176397549465,5.9608609865491405e-06,1298.3430346320322
492,1,1358.9285714284024,0.002059916522895738,3666.335398752183,1,1358.9285714284024,0.002059022473685552,2329.2172832560277,0.0029713784793419283,3036.70653346683,5.9608609865491405e-06,1360.9332773107203
491,1,1414.484126983947,0.0020684887640162897,3813.4138906702824,1,1414.484126983947,0.0020669726217431585,2424.028373610241,0.0029831627995194126,3159.6039609347367,5.9608609865491405e-06,1416.5687164641956
490,1,1464.4841269839371,0.002077138972229423,3945.3747355773303,1,1464.4841269839371,0.002074219788561104,2509.2642472129355,0.0029950438787594144,3270.027176310255,5.9608609865491405e-06,1466.640312801065
489,1,1509.9386724384735,0.0020858682676273884,4064.966411082932,1,1509.9386724384735,0.002081685400073717,2586.6690498389244,0.0030070229355223027,3370.243265911646,5.9608609865491405e-06,1512.1596741094072
488,1,1551.6053391051323,0.002094677812456466,4174.250273470209,1,1551.6053391051323,0.0020893640168579823,2657.550523473875,0.0030191012091510985,3461.952537436622,5.9608609865491405e-06,1553.885506230281
487,1,1590.0668775666632,0.0021035687830122107,4274.811979614388,1,1590.0668775666632,0.0021011015202010873,2722.9829931846707,0.003031279960330788,3546.462913323636,5.9608609865491405e-06,1592.4014290414239
486,1,1625.7811632809419,0.0021125423780803724,4367.897401072791,1,1625.7811632809419,0.0021100335003268536,2783.6956069721336,0.003043560471560105,3624.802040769338,5.9608609865491405e-06,1628.1660010182006
485,1,1659.1144966142685,0.002121599819092458,4454.50323347766,1,1659.1144966142685,0.002119043082831978,2840.317908028625,0.003055944047635739,3697.7920317398484,5.9608609865491405e-06,1661.546068940904
484,1,1690.3644966142624,0.002130742376206926,4535.439290493224,1,1690.3644966142624,0.002128132883983935,2893.3608429968604,0.0030684320161506223,3766.100846728085,5.9608609865491405e-06,1692.83969581852
483,1,1719.776261320139,0.002139971303955596,4611.372476020231,1,1719.776261320139,0.0021373054459766327,2943.2452088104637,0.003081025728005442,3830.2785656409483,5.9608609865491405e-06,1722.2923453055096
482,1,1747.5540390979113,0.0021492879131874893,4682.858541898753,1,1747.5540390979113,0.002146563244246298,2990.3216818555106,0.00309372655793483,3890.7835834397156,5.9608609865491405e-06,1750.1085704472562
481,1,1773.8698285715907,0.002158693534228676,4750.365488320346,1,1773.8698285715907,0.002155908694331868,3034.8855787053276,0.0031065359050481034,3948.001912190518,5.9608609865491405e-06,1776.460626439872
480,1,1798.869828571586,0.00216818952537431,4814.291114136735,1,1798.869828571586,0.0021653441583194427,3077.1879267715053,0.0031194551933851422,4002.2616576019254,5.9608609865491405e-06,1801.4949302000523
479,1,1822.6793523811052,0.002177777273638299,4874.976388523148,1,1822.6793523811052,0.0021749425725724534,3117.4446371442014,0.003132485872488399,4053.8440487675457,5.9608609865491405e-06,1825.3369819421073
478,1,1845.4066251083734,0.0021874581955263696,4932.715783626849,1,1845.4066251083734,0.0021845900048761318,3155.841001561354,0.003145629417990933,4102.991961148691,5.9608609865491405e-06,1848.0951682147595
477,1,1867.1457555431516,0.0021972337378333845,4987.7653609873305,1,1867.1457555431516,0.0021943317412698596,3192.5385870772247,0.003158887332221218,4149.916586734455,5.9608609865491405e-06,1869.863738190811
476,1,1887.9790888764808,0.0022071053784661096,5040.349173285216,1,1887.9790888764808,0.0022040318517489955,3227.6775226521986,0.0031722611448259737,4194.8027145848555,5.9608609865491405e-06,1890.7251598964638
475,1,1907.979088876477,0.0022170746272910965,5090.664385741007,1,1907.979088876477,0.0022139513476843948,3261.383391482013,0.0031857524134102605,4237.812955265119,5.9608609865491405e-06,1910.7520051947758
474,1,1927.2098581072426,0.0022271430270092564,5138.885412629054,1,1927.2098581072426,0.0022239322923791388,3293.7659056580756,0.0031993627241967046,4279.091152888529,5.9608609865491405e-06,1930.008472272297
473,1,1945.7283766257574,0.0022373121540575926,5185.167287770067,1,1945.7283766257574,0.002233787792848718,3324.9211572870336,0.003213093692704422,4318.76516529926,5.9608609865491405e-06,1948.5516261837404
472,1,1963.5855194828966,0.0022475836195379466,5229.648433149543,1,1963.5855194828966,0.0022437683974348096,3354.9368781496732,0.003226946964447085,4356.949147793812,5.9608609865491405e-06,1966.432417870813
471,1,1980.826898793238,0.002257959070174947,5272.452950187852,1,1980.826898793238,0.0022544005894228514,3383.895417100428,0.003240924215652562,4393.745443097146,5.9608609865491405e-06,1983.6965274881486
470,1,1997.4935654599012,0.0022684402017769173,5313.692529131588,1,1997.4935654599012,0.002264525902274745,3411.862723847981,0.0032550271540038034,4429.246156342609,5.9608609865491405e-06,2000.3850671749178
469,1,2013.6225977179627,0.002279028716576108,5353.4680504781845,1,2013.6225977179627,0.0022744513176705928,3438.900721497724,0.0032692575194012328,4463.534476022677,5.9608609865491405e-06,2016.5351704761767
468,1,2029.2475977179595,0.0022897263830507306,5391.870936177598,1,2029.2475977179595,0.002288257338602987,3465.091356802792,0.003283617088486686,4496.6857885722675,5.9608609865491405e-06,2032.1804896671347
467,1,2044.399112869472,0.002300535001475321,5428.984296106089,1,2044.399112869472,0.0022988520338801713,3490.4644130022325,0.0032981076615319046,4528.768623960593,5.9608609865491405e-06,2047.3516177252536
466,1,2059.1049952224103,0.0023114564132332848,5464.8839059405245,1,2059.1049952224103,0.0023095688022705366,3515.0686165713123,0.003312731082783445,4559.845462385633,5.9608609865491405e-06,2062.0764482476307
465,1,2073.3907095081217,0.0023224925020131097,5499.639045336032,1,2073.3907095081217,0.0023204078724549824,3538.9477907865626,0.003327489229228682,4589.973425625249,5.9608609865491405e-06,2076.380483951612
464,1,2087.279598397008,0.002333645195047304,5533.313219689684,1,2087.279598397008,0.0023314278019955204,3562.1424216458645,0.0033423840142056027,4619.204872392356,5.9608609865491405e-06,2090.287102328098
463,1,2100.793111910519,0.002344916464395189,5565.96478436821,1,2100.793111910519,0.002340083084806459,3584.676249984305,0.0033574173883738913,4647.587913235887,5.9608609865491405e-06,2103.8177853957554
462,1,2113.951006647359,0.0023563083282704665,5597.6474868001105,1,2113.951006647359,0.002352227876125435,3606.601831634608,0.003372591340660904,4675.166857691519,5.9608609865491405e-06,2116.992319224407
461,1,2126.7715194678694,0.0023678228524177795,5628.4109390684225,1,2126.7715194678694,0.002364528983762244,3627.9495806446257,0.0033879078992399897,4701.982604105244,5.9608609865491405e-06,2129.8289678785045
460,1,2139.271519467867,0.0023794621515378696,5658.3010314290195,1,2139.271519467867,0.00237698669848536,3648.7483228646533,0.003403369132535418,4728.072980728913,5.9608609865491405e-06,2142.344625617669
459,1,2151.466641419084,0.0023912283907640214,5687.360295399464,1,2151.466641419084,0.002386268052454476,3669.0093743595407,0.003418977150262199,4753.473045218626,5.9608609865491405e-06,2154.554950536179
458,1,2163.371403323844,0.002403123787193337,5715.628223622684,1,2163.371403323844,0.00239904028945811,3688.77410184596,0.0034347341044991403,4778.215348478453,5.9608609865491405e-06,2166.4744822930093
457,1,2174.9993103005854,0.0024151506114733095,5743.141552536762,1,2174.9993103005854,0.0024112411527497084,3708.061613488411,0.0034506421907966626,4802.330167824579,5.9608609865491405e-06,2178.1167461523237
456,1,2186.3629466642196,0.002427311189447072,5769.934512922825,1,2186.3629466642196,0.0024235904716261763,3726.8936593588846,0.0034667036493215377,4825.845713653399,5.9608609865491405e-06,2189.4943452011826
455,1,2197.4740577753287,0.0024396079038591467,5796.039052613901,1,2197.4740577753287,0.002435704237815086,3745.2888041864767,0.0034829207660386336,4848.788313146434,5.9608609865491405e-06,2200.6190423208423
454,1,2208.343622992718,0.0024520431961253136,5821.485034995911,1,2208.343622992718,0.002447954202681816,3763.265979654851,0.003499295873932995,4871.182574007224,5.9608609865491405e-06,2211.5018332481286
453,1,2218.981920865056,0.0024646195681686254,5846.300416391144,1,2218.981920865056,0.0024606641365156564,3780.844060771168,0.0035158313542726144,4893.0515307793285,5.9608609865491405e-06,2222.1530118643273
452,1,2229.3985875317208,0.0024773395843236245,5870.511404963929,1,2229.3985875317208,0.002473258107440091,3798.0384920583297,0.003532529637913668,4914.416775922815,5.9608609865491405e-06,2232.5822286831417
451,1,2239.6026691643715,0.0024902058733137855,5894.142603411039,1,2239.6026691643715,0.0024860128013220227,3814.8649054233206,0.0035493932066504846,4935.298577515502,5.9608609865491405e-06,2242.7985433704994
450,1,2249.6026691643697,0.002503221130303355,5917.2171373826695,1,2249.6026691643697,0.00249891817192563,3831.3378890784306,0.003566424594611426,4955.7159851840415,5.9608609865491405e-06,2252.8104720123706
449,1,2259.4065907329955,0.0025163881190280227,5939.756771312741,1,2259.4065907329955,0.002511976199403796,3847.4711717113755,0.0035836263897043403,4975.686925649527,5.9608609865491405e-06,2262.6260297484932
448,1,2269.0219753483784,0.0025297096740071576,5961.782013111267,1,2269.0219753483784,0.0025251890195609355,3863.277685571722,0.003601001235109361,4995.228289085989,5.9608609865491405e-06,2272.2527693066954
447,1,2278.4559376125276,0.002543188702841086,5983.3122089796925,1,2278.4559376125276,0.0025385589221904826,3878.7696269064377,0.0036185518308273976,5014.3560073317985,5.9608609865491405e-06,2281.6978159019113
446,1,2287.715196871785,0.002556828188599011,6004.365629446623,1,2287.715196871785,0.002552088349747072,3893.9585107359107,0.003636280935281755,5033.085124859249,5.9608609865491405e-06,2290.9678989038007
445,1,2296.806105962692,0.0025706311922974396,6024.959547581726,1,2296.806105962692,0.002565779896169351,3908.8552206261943,0.0036541913669759646,5051.429863292302,5.9608609865491405e-06,2300.0693806254953
444,1,2305.734677391262,0.00258460085547768,6045.110310225819,1,2305.734677391262,0.0025796363061567043,3923.470053995586,0.003672286006212277,5069.4036801637985,5.9608609865491405e-06,2309.0082825419245
443,1,2314.5066072158215,0.002598740413951365,6064.833402972314,1,2314.5066072158215,0.002593660474559024,3937.8127634261928,0.003690567796871945,5087.019322518498,5.9608609865491405e-06,2317.7903092082834
442,1,2323.1272968709923,0.0026130531601630904,6084.143509546342,1,2323.1272968709923,0.002607855446041539,3951.8925943947406,0.00370903974825946,5104.288875895123,5.9608609865491405e-06,2326.4208701165685
441,1,2331.601873142177,0.0026275425021688595,6103.054566151378,1,2331.601873142177,0.002622224415049617,3965.7183197877866,0.003727704937015506,5121.223809157396,5.9608609865491405e-06,2334.9050996998603
440,1,2339.9352064755085,0.00264221193182496,6121.579811286502,1,2339.9352064755085,0.002636770725912676,3979.298271523406,0.0037465665090998202,5137.835015589099,5.9608609865491405e-06,2343.2478756695855
439,1,2348.131927786982,0.0026570650361007137,6139.731831479863,1,2348.131927786982,0.0026514978731916727,3992.640369564689,0.0037656276818483665,5154.1328506207,5.9608609865491405e-06,2351.4538358497243
438,1,2356.1964439160124,0.0026721055003533843,6157.522603333496,1,2356.1964439160124,0.0026664095021777,4005.752148577969,0.0037848917461065865,5170.127166513484,5.9608609865491405e-06,2359.5273936534186
437,1,2364.132951852519,0.0026873371117408645,6174.963532230811,1,2364.132951852519,0.0026815094097107626,4018.6407824608973,0.0038043620684448426,5185.827344290972,5.9608609865491405e-06,2367.4727523312795
436,1,2371.945451852517,0.0027027637627740114,6192.0654880196025,1,2371.945451852517,0.002696801544985861,4031.313106940098,0.003824042093456824,5201.242323175702,5.9608609865491405e-06,2375.2939181065453
435,1,2379.6377595448234,0.002718389455018833,6208.838837949707,1,2379.6377595448234,0.00271229001069586,4043.7756404174092,0.0038439353461469997,5216.380627761627,5.9608609865491405e-06,2382.9947122998447
434,1,2387.213517120579,0.002734218302953581,6225.293477114966,1,2387.213517120579,0.0027301070128571085,4056.039469797672,0.0038640454344106194,5231.250393128022,5.9608609865491405e-06,2390.5787825354128
433,1,2394.6762036877417,0.0027502545379892588,6241.438856622872,1,2394.6762036877417,0.0027459757475110976,4068.105076500278,0.0038843760516088927,5245.859388079191,5.9608609865491405e-06,2398.0496131110276
432,1,2402.029144864211,0.002766502512660065,6257.2840096924665,1,2402.029144864211,0.0027620583789905308,4079.978585147847,0.003904930979247262,5260.215036675424,5.9608609865491405e-06,2405.4105346054457
431,1,2409.275521675804,0.0027829667049959245,6272.837575860554,1,2409.275521675804,0.0027783597115246645,4091.6654265855254,0.003925714089759121,5274.3244382037155,5.9608609865491405e-06,2412.6647327896544
430,1,2416.41837881866,0.0027996517230799885,6288.107823458408,1,2416.41837881866,0.00279283180098717,4103.16656131971,0.003946729349399806,5288.194385722029,5.9608609865491405e-06,2419.815256901597
429,1,2423.4606323397857,0.002816562309805577,6303.102670505114,1,2423.4606323397857,0.002809593174474086,4114.491729960857,0.0039679808212586005,5301.8313832976655,5.9608609865491405e-06,2426.8650273381754
428,1,2430.4050767842286,0.002833703347840116,6317.829704149422,1,2430.4050767842286,0.0028265840165807585,4125.645290075066,0.003989472668390834,5315.241662048504,5.9608609865491405e-06,2433.8168428130907
427,1,2437.2543918527203,0.0028510798648076125,6332.296198779469,1,2437.2543918527203,0.002843877757957819,4136.631949211442,0.0040112091570815404,5328.431195085566,5.9608609865491405e-06,2440.6733870244093
426,1,2444.011148609476,0.002868697038696721,6346.509132908325,1,2444.011148609476,0.002861477535880349,4147.45619028449,0.004033194660238441,5341.405711445977,5.9608609865491405e-06,2447.4372348716292
425,1,2450.6778152761417,0.00288656020351421,6360.475204933244,1,2450.6778152761417,0.002879324085469544,4158.12219269895,0.004055433660931777,5354.17070909708,5.9608609865491405e-06,2454.110858258267
424,1,2457.2567626445616,0.002904674855184671,6374.200847857606,1,2457.2567626445616,0.002897422794451591,4168.633979766707,0.004077930760818689,5366.731467095282,5.9608609865491405e-06,2460.696631512702
423,1,2463.750269138067,0.0029230466577204652,6387.6922430562945,1,2463.750269138067,0.002915779131070943,4178.99541476771,0.0041006906666348816,5379.093056916785,5.9608609865491405e-06,2467.1968364570134
422,1,2470.1605255483223,0.0029416814496683085,6400.955333158088,1,2470.1605255483223,0.0029343986467362778,4189.210209304195,0.004123718218066295,5391.260353117874,5.9608609865491405e-06,2473.6136671508907
421,1,2476.4896394723714,0.002960585250848609,6413.995834112122,1,2476.4896394723714,0.002953286978752846,4199.281930795903,0.004147018377514772,5403.238043283062,5.9608609865491405e-06,2479.949234335302
420,1,2482.73963947237,0.0029797642694043003,6426.819246499589,1,2482.73963947237,0.0029724498529079837,4209.21400950478,0.004170596237523549,5415.030637362325,5.9608609865491405e-06,2486.2055695984304
419,1,2488.912478978542,0.0029992249091733043,6439.430866146566,1,2488.912478978542,0.002991893086054798,4219.00974512694,0.004194457025427789,5426.642476431132,5.9608609865491405e-06,2492.3846292844496
418,1,2495.01003995415,0.003018973777402228,6451.835794089051,1,2495.01003995415,0.0030116225888861085,4228.672312983511,0.004218606108121594,5438.077740916414,5.9608609865491405e-06,2498.4882981639676
417,1,2501.0341363396915,0.0030390176928178168,6464.038945937117,1,2501.0341363396915,0.003031644368449057,4238.204769838877,0.004243048997028995,5449.340458327021,5.9608609865491405e-06,2504.518392883354
416,1,2506.9865172920713,0.0030593636940817494,6476.045060680951,1,2506.9865172920713,0.0030519645307781305,4247.610059373137,0.004267791353290824,5460.4345105240645,5.9608609865491405e-06,2510.4766652087487
415,1,2512.8688702332465,0.0030800190486330002,6487.8587089782495,1,2512.8688702332465,0.0030726346952773334,4256.891082376492,0.004292838993193324,5471.363640563605,5.9608609865491405e-06,2516.3648050792535
414,1,2518.6828237216173,0.0031009912619604204,6499.4843009591095,1,2518.6828237216173,0.003094538280227042,4266.051850190065,0.004318197893841484,5482.1314591415785,5.9608609865491405e-06,2522.1844434826053
413,1,2524.429950158398,0.00312228808730848,6510.926093581617,1,2524.429950158398,0.0031134298724886443,4275.09023365759,0.00434387419909658,5492.741450668299,5.9608609865491405e-06,2527.9371551655854
412,1,2530.111768340215,0.0031439175461485417,6522.188197568834,1,2530.111768340215,0.0031364702173380245,4284.014590961506,0.004369874225786502,5503.196978997892,5.9608609865491405e-06,2533.6244611904244
411,1,2535.729745868304,0.0031658879012878066,6533.2745839553045,1,2535.729745868304,0.0031591124196368495,4292.825662358291,0.004396204470216881,5513.501292835821,5.9608609865491405e-06,2539.2478313475945
410,1,2541.285301423858,0.0031882077201355473,6544.189090269127,1,2541.285301423858,0.0031794138255973026,4301.5225199465285,0.004422871614979119,5523.657530846065,5.9608609865491405e-06,2544.808686434549
409,1,2546.7798069183623,0.0032108858540965406,6554.9354263735795,1,2546.7798069183623,0.003201864817486467,4310.110236771592,0.004449882536097554,5533.668726477655,5.9608609865491405e-06,2550.3084004092666
408,1,2552.2145895270573,0.0032339314584690438,6565.517179990496,1,2552.2145895270573,0.003224768670200091,4318.590827197247,0.0044772443105104845,5543.537812528927,5.9608609865491405e-06,2555.7483024267485
407,1,2557.590933613078,0.0032573540053711654,6575.937821925861,1,2557.590933613078,0.0032481235719786245,4326.966521976471,0.0045049642239237565,5553.267625466388,5.9608609865491405e-06,2561.1296787660276
406,1,2562.910082549247,0.0032811632973072605,6586.200711016661,1,2562.910082549247,0.003271929098051472,4335.239453490329,0.00453304977904938,5562.860909513837,5.9608609865491405e-06,2566.453774654679
405,1,2568.1732404439826,0.0033053694814157114,6596.309098816506,1,2568.1732404439826,0.0032961861378111097,4343.411671239261,0.004561508704251732,5572.320320526278,5.9608609865491405e-06,2571.7217959973004
404,1,2573.3815737773148,0.0033299830644294773,6606.266134036367,1,2573.3815737773148,0.00332089683153522,4351.485146810847,0.0045903489626283565,5581.648429662045,5.9608609865491405e-06,2576.934911013972
403,1,2578.536212952571,0.003355014928396054,6616.074866755543,1,2578.536212952571,0.0033461206064975316,4359.461838013487,0.004619578761554123,5590.8477268656,5.9608609865491405e-06,2582.094251794256
402,1,2583.638253768897,0.003380476347192032,6625.738252416883,1,2583.638253768897,0.0033701153493301355,4367.341806063452,0.004649206562705951,5599.920624172635,5.9608609865491405e-06,2587.2009157719112
401,1,2588.688758819401,0.003406379003887571,6635.259155619281,1,2588.688758819401,0.0033976317799048776,4375.130251673118,0.004679241092612549,5608.869458848175,5.9608609865491405e-06,2592.255967125129
400,1,2593.6887588194,0.003432735008993215,6644.640353719668,1,2593.6887588194,0.0034226779020163135,4382.825415783092,0.004709691353750819,5617.696496367731,5.9608609865491405e-06,2597.2604381067536
399,1,2598.639253868904,0.0034595569196572947,6653.884540255682,1,2598.639253868904,0.0034493481703233887,4390.430582413232,0.004740566636223791,5626.4039332508155,5.9608609865491405e-06,2602.215330308654
398,1,2603.5412146532167,0.003486857759854578,6662.994328199599,1,2603.5412146532167,0.0034764591671076787,4397.9471141369295,0.00477187653006284,5634.9938997554445,5.9608609865491405e-06,2607.1216158641155
397,1,2608.3955835852544,0.0035146510416275956,6671.972253053307,1,2608.3955835852544,0.0035031159140434002,4405.375703640789,0.004803630938184526,5643.468462441778,5.9608609865491405e-06,2611.9802385918597
